Chunk_1: Start time: 2028 ms; Duration: 2681 ms; End time: 4709; Text: 人比鱼还多。; Oracle: 这人比鱼还多。
Chunk_2: Start time: 4709 ms; Duration: 21100 ms; End time: 25809; Text: 怎么丢换地方了？妈的。; Oracle: 怎么钓。换地方了。嗯。这钓鱼佬。
Chunk_3: Start time: 27684 ms; Duration: 14492 ms; End time: 42176; Text: 那去市场买了很多地方都在过冬天，而海南正在悄悄过冬天，穿短袖是对海南的冬天最大的尊重了。今天带着大家下海拍片，我们出海。; Oracle: 没有。哦那去市场买了。很多地方都在过冬天了。而海南正在悄悄过冬天。穿短袖啊。是对海南的冬天最大的尊重了。今天啊带着大家下海拍片。
Chunk_4: Start time: 45972 ms; Duration: 20650 ms; End time: 66622; Text: 上班玩的最近来也是在考虑上班发酵，我们在这，然后开自动学航的自动驾驶。; Oracle: 什么玩意。清澜海事三百八十八呼叫。我们在这。然后开自动巡航模式。自动驾驶。
Chunk_5: Start time: 66622 ms; Duration: 19250 ms; End time: 85872; Text:  '团刚好停在一个海底的一个崖顶上。; Oracle: 现在船哦。刚好停在一个海底的一个崖顶上。
Chunk_6: Start time: 85872 ms; Duration: 15064 ms; End time: 100936; Text: 这边的鱼群是很多的，背后大家看到那些小渔船差不多过年了，都在拖马胶。这个季节马胶是最值钱的，所以渔民就是一个小船只，两根杆，就这么拉马胶自负的。; Oracle: 这边的鱼其实很多的。背后大家看到那些小渔船呢。差不多过年了。都在拖马鲛鱼。这个季节马鲛是最值钱的鱼。所以啊渔民就是一个小船支两根杆。就这么拉马鲛致富的。
Chunk_7: Start time: 100936 ms; Duration: 20900 ms; End time: 121836; Text: 一下就上来了，这鱼好精湛，不是黄鸡。; Oracle: 一下就上来了。哦。哎呦金鲶鱼。哎呦金舱鱼哦。
Chunk_8: Start time: 121836 ms; Duration: 20876 ms; End time: 142712; Text: 黄鸡哦，这里好哦，漂亮哦，漂亮，这里吃黄鸡诶，好东西哦，两条啊哦，黄鸡。; Oracle: 黄鸡哦。这鱼好哦。漂亮哦。漂亮这鱼。也是黄鸡。哎好东西哦。两条啊哦哦。
Chunk_10: Start time: 142712 ms; Duration: 8948 ms; End time: 151660; Text: 哦，双飞哦，哟好啊，你看。; Oracle: 哦双飞。哎呦好啊。你看一大一小。
Chunk_11: Start time: 151660 ms; Duration: 13668 ms; End time: 165328; Text: 一大一小，你要顶一下，要吃鱼了，这条看这条黄鸡啦，嘿嘿。; Oracle: 中了。带带带。你要顶一下要吃刺鱼的。这条看这条黄鸡啊。
Chunk_12: Start time: 165328 ms; Duration: 19550 ms; End time: 184878; Text: 漂亮这种也漂亮，这个放牛可以，这个你别看，以为我们钓鱼来吃的错了，晚上我们要放牛的，拿这个鱼来钓更大的鱼，先养个都来不及捡鱼，这里还有一条呢，都来不及捡鱼来了。; Oracle: 漂亮这种也漂亮啊。这个放流可以。啊。这个你别看啊。以为我们钓鱼来吃的。错了晚上我们要放流的。拿这个鱼来钓更大的鱼。都来不及解鱼啊。这里还有一条呢。都来不及解鱼。来了。
