Chunk_1: Start time: 0 ms; Duration: 1553 ms; End time: 1553; Text: 羽毛风筝难做吗？; Oracle: 羽毛风筝难做吗。
Chunk_2: Start time: 1553 ms; Duration: 1371 ms; End time: 2924; Text: 我做了六个月。; Oracle: 我做了六个月。
Chunk_3: Start time: 2924 ms; Duration: 6183 ms; End time: 9107; Text: 这次我想做一只老鹰的羽毛风筝，飞在天上，可以以假乱真，非常的雄伟霸气。; Oracle: 这次我想做一只老鹰的羽毛风筝。飞在天上可以以假乱真。非常的雄伟霸气。
Chunk_4: Start time: 9107 ms; Duration: 18100 ms; End time: 27207; Text: 很多人去年第一次看见羽毛风筝，也是最后一只羽毛风筝制作他的老师离世了，没有留下传人。很多网友感到惋惜这么精美的风筝，不该让它消失。带着网友们的心愿，我来到了湖州，见到了羽毛风筝创始人张志刚老师的徒弟。; Oracle: 很多人去年第一次看见羽毛风筝。也是最后一支羽毛风筝。制作它的老师离世了。没有留下传人。很多网友感到惋惜。这么精美的风筝。带着网友们的心愿我来到了湖州。见到了羽毛风筝创始人。张志刚老师的徒弟。金月强老师。
Chunk_5: Start time: 27207 ms; Duration: 8074 ms; End time: 35281; Text: 金月强老师，可惜他也不知道羽毛风筝的具体做法，只是说羽毛风筝难的不是风筝，而是羽毛部分。; Oracle: 可惜他也不知道羽毛风筝的具体做法。只是说羽毛风筝难的不是风筝。
Chunk_6: Start time: 35281 ms; Duration: 8935 ms; End time: 44216; Text: 想要完美的仿生出一只老鹰在天上飞，就需要先得到一整只老鹰的羽毛，可这到哪去找老鹰的羽毛呢？; Oracle: 想要完美的仿生出一只老鹰在天上飞。就需要先得到一整只老鹰的羽毛。可这到哪去找老鹰的羽毛呢。
Chunk_7: Start time: 44216 ms; Duration: 21350 ms; End time: 65566; Text: 辗转反侧，我们又来到了山东，找到了专做标本复原工作的张荣军老师，他曾经用家禽的羽毛复原出了一只老鹰的标本。在他的帮助下，我们得知需要五种家禽的羽毛，才能拼出一只老鹰，分别是燕鹅的翅羽、灰鹅的尾羽、麻鸭的尾羽、麻鸡的颈羽以及鸽子的安羽。; Oracle: 辗转反侧。我们又来到了山东。找到了专做标本复原工作的张荣军老师。他曾经用家禽的羽毛。复原出了一只老鹰的标本。在他的帮助下我们得知。需要五种家禽的羽毛。才能拼出一只老鹰。分别是雁鹅的翅羽。灰鹅的尾羽。麻鸭的腹羽。自鸡的颈羽。以及鸽子的鞍羽。
Chunk_8: Start time: 65566 ms; Duration: 18600 ms; End time: 84166; Text: 早期这五种价钱的羽毛之后，接下来还需要将羽毛进行脱脂烘干，再熨平，最终才能拼成老鹰的样子。燕鹅的翅羽跟老鹰的翅羽最为接近，用它就可以代替老鹰的尾羽。灰鹅的尾羽代替老鹰的尾羽，灰鸭的腹羽代替老鹰背部和腹部的羽毛。; Oracle: 找齐这五种家禽的羽毛之后。接下来还需要将羽毛进行脱脂。脂烘干再熨平。最终才能拼成老鹰的样子。雁鹅的翅羽跟老鹰的翅羽最为接近。用它就可以代替老鹰的翅求。灰鹅的尾羽代替老鹰的尾羽。麻鸭的腹羽代替老鹰背部和腹部的羽毛。
Chunk_9: Start time: 84166 ms; Duration: 20500 ms; End time: 104666; Text: 白鸡颈部的羽毛呈细条状，跟老鹰颈部的羽毛非常相像。鸽子头部的羽毛呈鱼鳞状，用它就可以代替老鹰面部的羽毛。羽毛有了之后，如何把它变成风筝呢？我不敢轻易尝试，一旦翻车这些来之不易的羽毛可能就全部废了。于是我带着这些羽毛来到了风筝之都潍坊。; Oracle: 自鸡颈部的羽毛呈细条状。跟老鹰颈部的羽毛非常相像。鸽子头部的羽毛呈鱼鳞状。用它就可以代替老鹰面部的羽毛。羽毛有了之后。如何把它变成风筝呢。我不敢轻易尝试。翻车。这些来之不易的羽毛。可能就全部废了。于是我带着这些羽毛。来到了风筝之都潍坊。
Chunk_10: Start time: 104666 ms; Duration: 19000 ms; End time: 123666; Text: 找到了潍坊风筝，国家级负一传承人张晓东老师。邵东老师说，以前在风筝比赛上碰见过志刚老师也见过他的羽毛风筝。知道了我的来意之后，他决定帮助我复原这位老朋友的作品。不过邵东老师也从来没有做过羽毛风筝，能不能飞起来，他也没有实诚的把握。; Oracle: 找到了潍坊风筝国家级非遗传承人。张效东老师。效东老师说以前在风筝比赛上。碰见过志刚老师。也见过他的羽毛风筝。知道了我的来意之后。他决定帮助我复原这位老朋友的作品。不过效东老师也从来没有做过羽毛风筝。能不能飞起来。他也没有十层的把握。
Chunk_11: Start time: 123666 ms; Duration: 18800 ms; End time: 142466; Text: 我恳求晓东老师，让他教我亲手做这只羽毛风筝。不管要花多长时间，我一定要把它学会。羽毛风筝，没有传人，如果有幸我能学会，那它就不算失传了。; Oracle: 我恳求效东老师。让他教我亲手做这只羽毛风筝。不管要花多长时间。我一定要把他学会。羽毛风筝没有传人。如果有幸我能学会。那它就不算失传了。
Chunk_12: Start time: 161216 ms; Duration: 21650 ms; End time: 182866; Text: 最终在肖东老师的指导下。; Oracle: 最终在效东老师的指导下。
Chunk_13: Start time: 182866 ms; Duration: 5224 ms; End time: 188090; Text: 老鹰的骨架总算是成型了，接下来是胡娟踢雨的部分。; Oracle: 老鹰的骨架总算是成型了。接下来是糊娟贴羽的部分。
Chunk_14: Start time: 188090 ms; Duration: 1995 ms; End time: 190085; Text: 风筝起源于汉代。; Oracle: 风筝起源于汉代。
