Chunk_1: Start time: 0 ms; Duration: 2028 ms; End time: 2028; Text: 啊，这个一一一一一一一一一一一一一一一一一一的一个。; Oracle: 啊。
Chunk_2: Start time: 2028 ms; Duration: 2681 ms; End time: 4709; Text: 这人比鱼还多。; Oracle: 这人比鱼还多。
Chunk_3: Start time: 4709 ms; Duration: 21100 ms; End time: 25809; Text: 怎么钓换地方了？嗯，别钓鱼了，钓到没有？; Oracle: 怎么钓。换地方了。嗯。这钓鱼佬。钓到没有有不。
Chunk_4: Start time: 26046 ms; Duration: 1638 ms; End time: 27684; Text: 腰包。; Oracle: 没有。
Chunk_5: Start time: 27684 ms; Duration: 14492 ms; End time: 42176; Text: 哦，那去市场买了很多地方都在过冬天了，而海南正在悄悄过冬天，穿短袖啊是对海南的冬天最大的尊重了。今天啊带着大家下海拍片，我们出海。; Oracle: 哦那去市场买了。很多地方都在过冬天了。而海南正在悄悄过冬天。穿短袖啊。是对海南的冬天最大的尊重了。今天啊带着大家下海拍片。我们出海搞鱼。
Chunk_6: Start time: 42176 ms; Duration: 3796 ms; End time: 45972; Text: 搞鱼来张牌啊，张牌张牌，张牌，张牌张牌。; Oracle: 让开哦让开让开。
Chunk_7: Start time: 45972 ms; Duration: 20650 ms; End time: 66622; Text: 什么玩意儿具？; Oracle: 什么玩意。清澜海事三百八十八呼叫。
Chunk_8: Start time: 85872 ms; Duration: 15064 ms; End time: 100936; Text: 这边的鱼其实是很多的，背后，大家看到那些小渔船哦，差不多过年了都在拖马鲛这个季节。马鲛是最值钱的，所以啊渔民就是一个小船支，两根杆，就这么拉马鲛致富的。; Oracle: 这边的鱼其实很多的。背后大家看到那些小渔船呢。差不多过年了。都在拖马鲛鱼。这个季节马鲛是最值钱的鱼。所以啊渔民就是一个小船支两根杆。就这么拉马鲛致富的。
Chunk_9: Start time: 100936 ms; Duration: 20900 ms; End time: 121836; Text: 一下子就上来了，哎呦，金汤黄鸡，哎呦，金汤，哎，不是黄鸡。; Oracle: 一下就上来了。哦。哎呦金鲶鱼。哎呦金舱鱼哦。不是黄鸡。
Chunk_10: Start time: 121836 ms; Duration: 20876 ms; End time: 142712; Text: 黄鸡哦，这鱼好哦，漂亮哦，漂亮哦，这鱼这是黄鸡哦，好东西哦，哦哦，漂小哦，这鱼小心小心黄鸡。; Oracle: 黄鸡哦。这鱼好哦。漂亮哦。漂亮这鱼。也是黄鸡。哎好东西哦。两条啊哦哦。过瘾。哦。两条。哦黄鸡。小心小心。
Chunk_12: Start time: 142712 ms; Duration: 8948 ms; End time: 151660; Text: 哦，双飞哦呦好啊，你看。; Oracle: 哦双飞。哎呦好啊。你看一大一小。
Chunk_13: Start time: 151660 ms; Duration: 13668 ms; End time: 165328; Text: 一大一小够了，带带带你要顶一下，要吃鱼的这一条，看这一条黄鸡了。嘿嘿，这是小。; Oracle: 中了。带带带。你要顶一下要吃刺鱼的。这条看这条黄鸡啊。呸。这么小。
Chunk_14: Start time: 165328 ms; Duration: 19550 ms; End time: 184878; Text: 漂亮这种也漂亮啊，这个放牛可以大了，这个你别看啊，以为我们钓鱼来吃的错了，晚上我们要放牛的，拿这个鱼来钓钓更大的鱼先养着都来不及解鱼啊，这里还有一条呢都来不及解鱼来了。; Oracle: 漂亮这种也漂亮啊。这个放流可以。啊。这个你别看啊。以为我们钓鱼来吃的。错了晚上我们要放流的。拿这个鱼来钓更大的鱼。都来不及解鱼啊。这里还有一条呢。都来不及解鱼。来了。
Chunk_15: Start time: 184878 ms; Duration: 10251 ms; End time: 195129; Text: 哎，小黄鸡多了，下面都成群了，成渣下面了，手感就大不了。对，就感觉在捞鱼。; Oracle: 多了下面都成群了成灾下面了。手感就大不了。对就感觉在捞鱼。
Chunk_16: Start time: 195129 ms; Duration: 1516 ms; End time: 196645; Text: 可以可以可以。; Oracle: 可以可以可以。
Chunk_17: Start time: 196645 ms; Duration: 2615 ms; End time: 199260; Text: 辣条哦。; Oracle: 大条。哦。
Chunk_18: Start time: 199260 ms; Duration: 18950 ms; End time: 218210; Text: 嗯，来了嗯，来了嘛，来了嘛啊，这多简单，都拖走了，都拖走了。; Oracle: 嗯来了嘛。来了嘛。啊这多简单。都拖走了。哎哎哎。慢点慢点。
