Chunk_1: Start time: 0 ms; Duration: 3322 ms; End time: 3322; Text: 据说，外星生命曾在阿拉泰留下过足迹。; Oracle: 据说外星生命曾在阿勒泰留下过足迹。
Chunk_2: Start time: 3322 ms; Duration: 18640 ms; End time: 21962; Text: 这里是一万两千年前的一幅研画，上面的人长手长脚还能与野兽同行。可当地的村民告诉我，这并不是外星人，而是一万两千年前拥有魔毯的阿拉泰人乘上魔毯，他们就可以在雪山上飞驰。可是一万两千年前还是石系社会，他们又是用什么造出魔毯的呢？; Oracle: 这里是十二零年前的一幅岩画。上面的人长手长脚。还能与野兽同行。可当地的村民告诉我。这并不是外星人。而是十二零年前拥有魔毯的阿勒泰人。乘上魔毯。他们就可以在雪山上飞驰。可是十二零年前还是石器社会。他们又是用什么造出魔毯的呢。
Chunk_3: Start time: 21962 ms; Duration: 5028 ms; End time: 26990; Text: 带着疑问，我找到了斯兰比克大叔，他就会制作传说中的魔坛。; Oracle: 带着疑问。我找到了斯兰别克大叔。他就会制作传说中的魔毯。
Chunk_4: Start time: 26990 ms; Duration: 20150 ms; End time: 47140; Text: 阿拉泰从每年十月份就开始下雪，一直到来年四月份整整半年的时间，这里都是冬天。而每年初冬来临，当地的牧民都会挑选标肥体状的牛、马、羊等牲畜进行冬宰，为接下来寒冷又漫长的冬季做储备肉粮。而冬宰节这天，也是斯兰别克大叔最忙碌的一天。; Oracle: 阿勒泰从每年十一月份就开始下雪。一直到来年的四月份。整整半年的时间这里都是冬天。当地的牧民都会挑选肥体壮的牛。马羊等牲畜进行冬宰。为接下来寒冷又漫长的冬季做储备肉粮。而冬宰节这天。也是斯兰别克大叔最忙碌的。
Chunk_5: Start time: 47140 ms; Duration: 20256 ms; End time: 67396; Text: 他要在这个天收集到足够多的马皮，用来制作最古老的魔毯，穿上它，我们就可以轻松地登上雪山，同样也可以从雪山上飞驰而下。其实现在每个滑雪场都有魔毯，魔毯是一条机械传送带能站在上面，不费力气就可以帮你传送到山顶，省去了拖雪板和坐缆车的麻烦。; Oracle: 他要在这天收集到足够多的马皮。用来制作最古老的魔毯。穿上它我们就可以轻松的登上雪山。同样也可以从雪山上飞驰而下。魔毯是一条机械传送带。人站在上面。不费力气就可以帮你传送到山顶。省去了脱雪板和坐缆车的麻烦。
Chunk_7: Start time: 67396 ms; Duration: 19350 ms; End time: 86746; Text: 而阿拉泰这边的先民们，早在一万两千年前就发明了一种将魔炭与雪板结合的产物毛皮滑雪板。而壁画上的外星人，其实就是一万多年前穿上毛皮滑雪板的阿拉泰人，很难想象，一万两千年前，古人就靠着木板和毛皮创造出了滑雪。; Oracle: 而阿勒泰这边的先民们。早在十二零年前。就发明了一种。将魔毯与雪板结合的产物。毛皮滑雪板。而壁画上的外星人。其实就是一万多年前。穿上毛皮滑雪板的阿勒泰人。很难想象十二零年前。古人就靠着木板和毛皮创造出了滑雪。
Chunk_8: Start time: 86746 ms; Duration: 18750 ms; End time: 105496; Text: 这也是有记录以来出生处外人类最早的交通工具，斯兰别克大叔，他们家几代都是做毛皮滑雪板的，以前生意火爆，毛皮板供不营求，现在生意冷清了很多。他说现在都流行用碳纤维材料了，他的毛皮板显得特别笨拙，不过他说这样也挺好的。; Oracle: 这也是有记录以来。除牲畜外。人类最早的交通工具。斯兰别克大叔。他们家几代都是做毛皮滑雪板的。以前生意火爆。毛皮板供不应求。现在生意冷清了很多。他说现在都流行用碳纤维材料了。他的毛皮板显得特别笨拙。不过他说这样也挺好的。
Chunk_9: Start time: 105496 ms; Duration: 21150 ms; End time: 126646; Text: 至少我们国家现在的滑雪运动越来越好了。大叔很高兴我能来拍摄，让我一定要记录清楚。毛皮滑雪板是怎么诞生的？让现在爱滑雪的孩子们都知道，滑雪这项技术最早起源于中国，将木板压制定型成一头翘起的形状，然后在中间打孔，用牛筋当绳子，串联成固定器。; Oracle: 至少我们国家现在的滑雪运动。越来越好了。天叔很高兴我能来拍摄。让我一定要记录清楚。毛皮滑雪板是怎么诞生的。让现在爱滑雪的孩子们都知道。滑雪这项技术最早起源于中国。将木板压制定型成一头翘起的形状。然后在中间打孔。用牛筋当绳子串联成固定器。
Chunk_10: Start time: 126646 ms; Duration: 7124 ms; End time: 133770; Text: 这样鞋子和雪板就能牢牢的绑在一起，接下来就要请出古兽的黑科技了，马腿皮毛。; Oracle: 这样鞋子和雪板就能牢牢的绑在一起。接下来就要请出古时候的黑科技了。马腿皮毛。
Chunk_11: Start time: 133770 ms; Duration: 20850 ms; End time: 154620; Text: 它就是又可以上山，又可以滑雪的魔毯，因为马的四肢上生长着非常规则且坚硬的顺毛，而马腿上的皮毛有着每平方厘米，超过了根的毛发。下山时，顺毛而行，柔顺的马毛接触雪面就会立刻结冰，形成一整块光滑的皮面，这样滑雪者踏着它就能持己而下。而上山时，逆毛行走。; Oracle: 他就是又可以上山又可以滑雪的魔毯。因为马的四肢上。生长着非常规则且坚硬的顺毛。而马腿上的皮毛。有着每平方厘米超过了二五百根的毛发。下山时顺毛而行。柔顺的马毛接触雪面就会立刻结冰。形成一整块光滑的平面。这样滑雪者踏着它就能驰疾而下。而上山时逆毛行走。
Chunk_12: Start time: 154620 ms; Duration: 21450 ms; End time: 176070; Text: 每一根结了冰的毛发，就像微型的刀刺一般，牢牢地插在了雪地里，这样便不会滑倒。古时候的游牧民族，就是靠着这样一双魔毯自由地穿梭在了冰天雪地之间，可真正穿上雪板，我才发现想要驾驭它。; Oracle: 每一根结了冰的毛发。就像微型的倒刺一般。牢牢地插在了雪地里。这样便不会滑倒。古时候的游牧民族。就是靠着这样一双魔毯。自由的穿梭在了冰天雪地之间。可真正穿上雪板。我才发现。想要驾驭他。
Chunk_13: Start time: 176070 ms; Duration: 19900 ms; End time: 195970; Text: 还真没那么简单，跟现代双板不同，毛皮滑雪板只有一根手杖，而且这根手杖不是用来掌握平衡的，而是用来刹车的。大叔说，想要学会，它就要去更高的山上，只有用它先学会了爬山，你才会用它下山。从远古的徒步跋涉到骑马，驰骋于广袤草原。; Oracle: 还真没那么简单。跟现代双板不同。毛皮滑雪板只有一根手杖。而且这根手杖不是用来掌握平衡的。而是用来刹车的。大叔说。想要学会它就要去更高的山上。只有用它先学会了爬山。你才会用它下山。从远古的徒步跋涉。到骑马驰骋于广衰草原。
Chunk_14: Start time: 195970 ms; Duration: 18850 ms; End time: 214820; Text: 到近代，滑雪板在挨挨白雪上的飞驰。再看见现代汽车四轮驱动，穿越山川湖海出行方式的变化。见证了我们对未知的探索无限进步，不断超越。祝我们顺利登上每一座雪山。; Oracle: 到近代滑雪板在白雪上的飞驰。再看见现代汽车四轮驱动。出行方式的变化。见证了我们对未知的探索。无限进步。不断超越。祝我们顺利登上每一座雪山。
