Chunk_1: Start time: 0 ms; Duration: 2419 ms; End time: 2419; Text: 我想和天权合伙做一回生意。; Oracle: 我想和听泉合伙做一回生意。
Chunk_2: Start time: 2419 ms; Duration: 20356 ms; End time: 22775; Text: 但没想到路人都把我们当成了骗子，给了给点，没没带现金，然后你们就有现金，可以给现金，要找一百个人结缘。这位做出传说中的百家宝锁，这种锁在古玩界非常难得，很难能找到。真的，因为这种锁是用真正的百家钱打造的，据说带上它就可驱散一切厄运，保百岁安宁。; Oracle: 但没想到路人都把我们当成了骗子。给点。要找一百个人结缘。只为做出传说中的。百家宝锁。这种锁在古玩界。非常难得。很难能找到真的。因为这种锁是用真正的百家钱打造的。据说戴上它。就可驱散一切厄运。保百岁安宁。
Chunk_4: Start time: 22775 ms; Duration: 11070 ms; End time: 33845; Text: 按照规矩，淘百家钱需要先准备七种茶叶和七种米装一百个福袋，再把福袋放在香火兴旺的寺庙，让福袋听取千人咒怨，熏染万家香火。; Oracle: 按照规矩。讨百家钱需要先准备七种茶叶和七种米。装一百个福袋。再把福袋放在香火兴旺的寺庙。让福袋听取千人祝愿。熏染万家香火。
Chunk_5: Start time: 33845 ms; Duration: 20950 ms; End time: 54795; Text: 经过渲染的福袋，在古时候被称为百福袋，会给佩戴的人带来好运和财运。我和天权就要用这些百福袋去找一百个不同姓氏的人，换百家钱，再用换来的百家钱买银子住百家宝锁好，我们谁被两个刀石头布不百宝贝。; Oracle: 经过熏染的福袋。在古时候被称为百福袋。会给佩戴的人带来好运和财运。我和听泉就要用这些百福袋。去找一百个不同姓氏的人换百家钱。再用换来的百家钱买银子。铸百家宝锁。好我们谁背。剪刀。石头布。剪刀。你背。
Chunk_6: Start time: 57385 ms; Duration: 18850 ms; End time: 76235; Text: 哎，你爸之前你说你去搜过吗？对我有收过东西卖东西。知道我第一次来，我们第一次我们得想一下想一下话术，我比较想要那个女性沟通，这两个比较麻烦。你好，姐姐，这个我们这个景景区的这个福利。; Oracle: 可以出发。之前你说你去收过东西。对我有收过东西。但卖东西倒是第一次卖。我们得想一下。想一下话术。我比较喜欢跟女性沟通。这两个给她拿下。你好姐姐。这个我们这个。这个景区的这个福利。
Chunk_7: Start time: 76235 ms; Duration: 18250 ms; End time: 94485; Text: 结个善缘吧，结个善缘送给你们可以吗？啊，我们很像骗子吗？什么有点像骗子，有点像骗子。阿姨说，送送你一个福袋。好，来，我要这个要这个是吧？看看能不能结个善缘，能结个善缘吧。阿姨啊，结个善缘就不要了，送你个福福袋不要钱的。; Oracle: 结个善缘吧。送给你们可以吗。不好。我们很像骗子吗。有点像骗子。阿姨送送送你个福袋。好嘞我要这个。要这个是吧。看能不能结个善缘。能结个善缘吗阿姨。啊结个善缘就不要了。送你个福袋。不要钱的。
Chunk_8: Start time: 94485 ms; Duration: 22050 ms; End time: 116535; Text: 一分钱也可以，也要在被拒绝了。无数次后，我们终于等来了。第一个刚蹦谢来送都送不掉，您给我们一会儿开个开个直播，于是听选想起了他的家人了。哎，你来有两个小姐姐，你们拿五个福袋，送你们一个福袋，给个一分两分就行了。姐姐，你贵姓姓姓什么谁谁选的叶颜色的。; Oracle: 分钱也可以爷爷。在被拒绝了无数次后。我们终于等来了。第一个。钢。自送都送不掉。我们一会开个开个直播。于是听泉想起了他的家人们。来两个小姐姐。你们拿我个福袋。给个一分两分就行了。姐姐您贵姓姓什么。姓叶。
Chunk_9: Start time: 116535 ms; Duration: 21050 ms; End time: 137585; Text: 回去回去给我上上人气票去，来，我们送送你一个粉丝，一个随随有现金，不用就随便有有码啊。对，随便随便便整儿就行了。张张吧吧，这个这这个挺好的，看直播来的，来来来拿，布袋，拿拿来过来拍过来来来过来拍好，我不太想拍，你知道吗？太帅了，把我衣粉过去，然后的话你先来过来来。; Oracle: 回去回去。给我上上人气票去姐。来我们送。送给这粉丝一个。没没有现金。不用就随便有。有码。随便随便整点就行。姓张是吧。姓张这个姓好呀。看直播来的。来拿福袋拿拿拿。过来拍别偷拍。来过来拍。我不太想拍你知道吧。太帅了把我女粉给我吸走了。魏魏。魏国的魏。
Chunk_10: Start time: 137585 ms; Duration: 20850 ms; End time: 158435; Text: 谢谢谢谢谢谢谢谢谢谢谢谢大粉丝先先走一走，我跟女粉丝合影，用一你来喊来来来你好，来五百块钱，我是踏钱至三店，哎呀，可以走。最终我们的百福袋换来了八百四十五块的百家钱，差不多可以买一百克的白银，百家保守的做工非常复杂。; Oracle: 谢谢谢谢。男粉丝先先走一走。我跟女粉丝合影了。姐你得喊啊。来来来。无人扶我青会志。我自踏雪至山巅。哈哈哈。可以可以哥。最终我们的百福袋。换来了八百四十五块的百家钱。差不多可以买一百克的白银。百家宝锁的做工非常复杂。这次我和听泉还有潘老师。
Chunk_11: Start time: 158435 ms; Duration: 19951 ms; End time: 178386; Text: 这次我和听权还有潘老师要三人合力才能完成。潘老师是苗银锻造技艺的非遗传承人。这次我们分工合作，潘老师负责技术指导听权，负责干粗活，我负责干细活，重大时间的狼后，要不停的捶打上万次，才能把银条断成零点五毫米厚的银片。这对于很会整活的听权来说。; Oracle: 要三人合力才能完成。潘老师是苗银锻造技艺的非遗传承人。这次我们分工合作。潘老师负责技术指导。听泉负责干粗活。我负责干细活。重达十斤的榔头要不停的捶打上万次。才能把银条锻成零五毫米厚的银片。这对于很会整活的听泉来说。
Chunk_12: Start time: 178386 ms; Duration: 11939 ms; End time: 190325; Text: 真的很开门。; Oracle: 真的很开门。
