Chunk_1: Start time: 821 ms; Duration: 2083 ms; End time: 2904; Text: 是时代无声的叙述者。; Oracle: 是时代无声的叙述者。
Chunk_2: Start time: 2904 ms; Duration: 2769 ms; End time: 5673; Text: 五千年来，他们藏于江山。; Oracle: 五千年来他们藏于江止。
Chunk_3: Start time: 5673 ms; Duration: 1380 ms; End time: 7053; Text: 长于婚嫁。; Oracle: 藏于婚嫁。
Chunk_4: Start time: 7053 ms; Duration: 1744 ms; End time: 8797; Text: 藏于器具。; Oracle: 藏于器具。
Chunk_5: Start time: 8797 ms; Duration: 1643 ms; End time: 10440; Text: 成为建筑。; Oracle: 藏于建筑。
Chunk_6: Start time: 10440 ms; Duration: 1622 ms; End time: 12062; Text: 常于俯视。; Oracle: 藏于服饰。
Chunk_7: Start time: 12062 ms; Duration: 1583 ms; End time: 13645; Text: 颜色无处不在。; Oracle: 颜色无处不在。
Chunk_8: Start time: 13645 ms; Duration: 16145 ms; End time: 29790; Text: 这期我想带大家重新了解一下颜色，用克的黄金制作了黄金剑饼，但能调动千军万马的不是复杂的工艺，而是剑饼上的颜色。在古代，黄色代表了至高无上的权力，是皇族和贵族的象征。; Oracle: 这期我想带大家重新了解一下颜色。用三百七十克的黄金制作的黄金剑柄。但能调动千军万马的不是复杂的工艺。而是剑柄上的颜色。在古代黄色代表了至高无上的权力。是皇族和贵族的象征。
Chunk_9: Start time: 29790 ms; Duration: 7814 ms; End time: 37604; Text: 黄色更是大地孕育的原色，蕴含着一种血脉和骨子里的气魄。; Oracle: 黄色更是大地孕育的原色。蕴含着一种血脉和骨子里的气魄。
Chunk_10: Start time: 37604 ms; Duration: 20250 ms; End time: 57854; Text: 在婚礼、节庆等重要场合，人们都会用红色来装饰，表达对美好生活的向往和追求。十里红妆凤冠霞飞红是刻进中国人骨子里的文化底色，红象征着阳光、勇气和斗志，更代表着忠诚、正义和勇敢。; Oracle: 在婚礼节庆等重要场合。人们都会用红色来装饰。表达对美好生活的向往和追求。里红妆凤冠霞。红是刻进中国人骨子里的文化底色。红象征着阳光勇气和斗志。更代表着忠诚正义和勇敢。
Chunk_11: Start time: 57854 ms; Duration: 19100 ms; End time: 76954; Text: 黑色在中国传统文化中又被称为玄象，征着至高无上的天象征着一切生命的开始，也象征着结束。从漆碗到木块，从床榻到房梁，黑色象征着神秘、庄重和高贵拜拜。; Oracle: 黑色在中国传统文化中又被称为玄。象征着至高无上的天。象征着一切生命的开始。也象征着结束。从漆碗到木筷。从床榻到房梁。黑色象征着神秘庄重和高贵。白素若积雪。
Chunk_12: Start time: 76954 ms; Duration: 11688 ms; End time: 88642; Text: 素若积雪，东风济白是万千。中国传统色中最素雅的颜色是千色的起点，也是万彩的终点，代表着纯洁、圣洁、清新与高雅。; Oracle: 东风既白。是万千中国传统色中最素雅的颜色。代表着纯洁圣洁清新与高雅。
Chunk_13: Start time: 88642 ms; Duration: 3428 ms; End time: 92070; Text: 而青色位于传统武政社首位。; Oracle: 而青色位于传统五正色首位。
Chunk_14: Start time: 92070 ms; Duration: 2005 ms; End time: 94075; Text: 又被誉为东方之色。; Oracle: 又被誉为东方之色。
Chunk_15: Start time: 94075 ms; Duration: 1932 ms; End time: 96007; Text: 在中国传统文化中。; Oracle: 在中国传统文化中。
Chunk_16: Start time: 97092 ms; Duration: 1882 ms; End time: 98974; Text: 也是万物生之色。; Oracle: 青色也是万物生。
Chunk_17: Start time: 98974 ms; Duration: 1948 ms; End time: 100922; Text: 无论是抬横上接绿。; Oracle: 之色。无论是苔痕上阶绿草色入帘青。
Chunk_18: Start time: 100922 ms; Duration: 1420 ms; End time: 102342; Text: 草色若连青。; Oracle: 还是袅袅城边柳青青陌上桑。
Chunk_20: Start time: 105362 ms; Duration: 4148 ms; End time: 109510; Text: 都为我们描绘了春天里这一抹令人愉悦舒心的颜色。; Oracle: 都为我们描绘了春天里这一抹令人愉悦疏心的颜色。
