Chunk_1: Start time: 821 ms; Duration: 2083 ms; End time: 2904; Text: 是时代无声的叙述者。; Oracle: 是时代无声的叙述者。
Chunk_2: Start time: 2904 ms; Duration: 2769 ms; End time: 5673; Text: 五千年来，他们藏于江山。; Oracle: 五千年来他们藏于江止。
Chunk_3: Start time: 5673 ms; Duration: 1380 ms; End time: 7053; Text: 藏于婚嫁。; Oracle: 藏于婚嫁。
Chunk_4: Start time: 7053 ms; Duration: 1744 ms; End time: 8797; Text: 长于器具。; Oracle: 藏于器具。
Chunk_5: Start time: 8797 ms; Duration: 1643 ms; End time: 10440; Text: 成于建筑。; Oracle: 藏于建筑。
Chunk_6: Start time: 10440 ms; Duration: 1622 ms; End time: 12062; Text: 藏于服饰。; Oracle: 藏于服饰。
Chunk_7: Start time: 12062 ms; Duration: 1583 ms; End time: 13645; Text: 颜色无处不在。; Oracle: 颜色无处不在。
Chunk_8: Start time: 13645 ms; Duration: 16145 ms; End time: 29790; Text: 这期我想带大家重新了解一下颜色，用三百七十克的黄金制作的黄金剑柄，但能调动千军万马的不是复杂的工艺，而是剑柄上的颜色。在古代，黄色代表了至高无上的权利，是皇族和贵族的象征。; Oracle: 这期我想带大家重新了解一下颜色。用三百七十克的黄金制作的黄金剑柄。但能调动千军万马的不是复杂的工艺。而是剑柄上的颜色。在古代黄色代表了至高无上的权力。是皇族和贵族的象征。
Chunk_9: Start time: 29790 ms; Duration: 7814 ms; End time: 37604; Text: 黄色更是大地孕育的原色，蕴含着一种血脉和骨子里的气魄。; Oracle: 黄色更是大地孕育的原色。蕴含着一种血脉和骨子里的气魄。
Chunk_10: Start time: 37604 ms; Duration: 20250 ms; End time: 57854; Text: 在婚礼、节庆等重要场合，人们都会用红色来装饰，表达对美好生活的向往和追求。十里红装凤冠霞披红是刻金中国人，骨子里的文化底色红，象征着阳光、勇气和斗志，更代表着忠诚、正义和勇敢。; Oracle: 在婚礼节庆等重要场合。人们都会用红色来装饰。表达对美好生活的向往和追求。里红妆凤冠霞。红是刻进中国人骨子里的文化底色。红象征着阳光勇气和斗志。更代表着忠诚正义和勇敢。
Chunk_11: Start time: 57854 ms; Duration: 19100 ms; End time: 76954; Text: 黑色在中国传统文化中又被称为玄象，征着至高无上的天象征着一切生命的开始，也象征着结束。从漆碗到木块，从床榻到房梁，黑色象征着神秘，庄重到高贵白。; Oracle: 黑色在中国传统文化中又被称为玄。象征着至高无上的天。象征着一切生命的开始。也象征着结束。从漆碗到木筷。从床榻到房梁。黑色象征着神秘庄重和高贵。白素若积雪。
